tag,scalar_value,global_step
Reward,12.0,104
Mean Reward,10.151515151515152,104
Loss,0.01706237276084721,105
Epsilon,0.1,105
Reward,12.0,105
Mean Reward,10.17,105
Loss,0.017579297147070367,106
Epsilon,0.1,106
Reward,12.0,106
Mean Reward,10.171717171717171,106
Loss,0.018393768430022255,107
Epsilon,0.1,107
Reward,14.0,107
Mean Reward,10.21,107
Loss,0.018728231223156817,108
Epsilon,0.1,108
Reward,13.0,108
Mean Reward,10.222222222222221,108
Loss,0.02009954396635294,109
Epsilon,0.1,109
Reward,16.0,109
Mean Reward,10.28,109
Loss,0.023128565633669496,110
Epsilon,0.1,110
Reward,16.0,110
Mean Reward,10.282828282828282,110
Loss,0.021752222707229003,111
Epsilon,0.1,111
Reward,14.0,111
Mean Reward,10.32,111
Loss,0.0185652798662583,112
Epsilon,0.1,112
Reward,15.0,112
Mean Reward,10.323232323232324,112
Loss,0.02133721273777814,113
Epsilon,0.1,113
Reward,29.0,113
Mean Reward,10.51,113
Loss,0.034671063721179965,114
Epsilon,0.1,114
Reward,10.0,114
Mean Reward,10.484848484848484,114
Loss,0.048200632678344846,115
Epsilon,0.1,115
Reward,8.0,115
Mean Reward,10.46,115
Loss,0.04526802711188793,116
Epsilon,0.1,116
Reward,10.0,116
Mean Reward,10.474747474747474,116
Loss,0.0552006463209788,117
Epsilon,0.1,117
Reward,9.0,117
Mean Reward,10.46,117
Loss,0.04983240469462342,118
Epsilon,0.1,118
Reward,9.0,118
Mean Reward,10.474747474747474,118
Loss,0.07652624820669492,119
Epsilon,0.1,119
Reward,12.0,119
Mean Reward,10.49,119
Loss,0.050641410491045785,120
Epsilon,0.1,120
Reward,17.0,120
Mean Reward,10.484848484848484,120
Loss,0.06201141571196226,121
Epsilon,0.1,121
Reward,13.0,121
Mean Reward,10.51,121
Loss,0.03959457571100858,122
Epsilon,0.1,122
Reward,18.0,122
Mean Reward,10.525252525252526,122
Loss,0.03712489023323982,123
Epsilon,0.1,123
Reward,31.0,123
Mean Reward,10.73,123
Loss,0.07199510083430344,124
Epsilon,0.1,124
Reward,9.0,124
Mean Reward,10.747474747474747,124
Loss,0.06876210905611516,125
Epsilon,0.1,125
Reward,10.0,125
Mean Reward,10.74,125
Loss,0.061912272044497986,126
Epsilon,0.1,126
Reward,23.0,126
Mean Reward,10.747474747474747,126
Loss,0.05162879791110754,127
